id,name,artists,album,release_date,energy,danceability,popularity,keywords
16kiQQ4BoLHDyj5W2fkfNK,"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",7/2/24,0.745,0.676,80,"['tauba', 'husn', 'tera', 'bad', 'newz', 'song', 'tan', 'ton', 'tu', 'mp3']"
0XRb6eZE4dBIJdqwf1Mixu,Suniyan Suniyan,"Juss, MixSingh",Suniyan Suniyan,4/12/24,0.626,0.83,79,"['suniyan', 'song', 'mp3', 'juss', 'mixsingh', 'download', 'songs', 'music', 'hindi', 'english']"
34Fh4HXZmnuBdtgejWUZg2,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Mohammad Faiz, Jaani","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",5/14/24,0.439,0.417,79,"['dekhha', 'tenu', 'mr', 'mrs', 'mahi', 'song', 'mp3', 'jaani', 'download', 'songs']"
36N5awamOX6XX5pQn3aFXZ,"Soni Soni (From ""Ishq Vishk Rebound"")","Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini","Soni Soni (From ""Ishq Vishk Rebound"")",5/24/24,0.694,0.803,78,"['soni', 'ishq', 'vishk', 'rebound', 'song', 'mp3', 'darshan', 'raval', 'download', 'songs']"
3svJaCD1g4aeQOXGc1aOIB,Mombattiye,"Diljit Dosanjh, Jaani, Bunny",Mombattiye,8/5/24,0.693,0.595,66,"['mombattiye', 'song', 'mp3', 'diljit', 'dosanjh', 'download', 'songs', 'music', 'hindi', 'english']"
6EivvaEepVTjmDde43eGiB,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",7/18/23,0.658,0.468,71,"['rocky', 'aur', 'rani', 'kii', 'prem', 'kahaani', 'kamleya', 'song', 'mp3', 'pritam']"
6IR6mzRO60hnMjNoq8rCPE,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur","Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",1/29/24,0.819,0.814,71,"['mein', 'song', 'baaton', 'aisa', 'jiya', 'teri', 'uljha', 'title', 'dil', 'se']"
2C6CJGFLbisteRuY6Plb7b,Ve Haaniyaan,"Danny, Avvy Sra, Sagar",Ve Haaniyaan,1/19/24,0.54,0.786,74,"['qismat', '2', 'mere', 'yaara', 'song', 'mp3', 'avvy', 'sra', 'download', 'songs']"
1uCBFWAcZOJGAj1CFQHZDj,Daaku,"Badshah, Sharvi Yadav, Hiten",Daaku,2/22/24,0.885,0.744,66,"['daaku', 'song', 'mp3', 'badshah', 'download', 'songs', 'music', 'hindi', 'english', 'bollywood']"
4BDOA9pV0yLClbR3v37ekI,Top Class / Overseas,"DIVINE, Karan Aujla",Street Dreams,2/16/24,0.887,0.549,65,"['top', 'class', 'overseas', 'song', 'mp3', 'divine', 'download', 'songs', 'music', 'street']"
